,Object_ID,Image_URL,Title,Object_Name,Medium,Classification,Department,Culture,Period,Object_Date,Target
2299,205145,https://images.metmuseum.org/CRDImages/es/web-large/191904.jpg,Saint Catherine of Alexandria,Stove tile,Lead-glazed earthenware (Hafnerware); with some tin-glazed white areas.,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1500,0
2302,5871,https://images.metmuseum.org/CRDImages/ad/web-large/DP264267.jpg,Pitcher,Pitcher,Earthenware; Redware,,The American Wing,American,,ca. 1850–75,0
2303,204678,https://images.metmuseum.org/CRDImages/es/web-large/184879.jpg,Monkey musician (part of a set),Figure,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1760,0
2304,208333,https://images.metmuseum.org/CRDImages/es/web-large/260613.jpg,Dish,Dish,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
2305,47306,https://images.metmuseum.org/CRDImages/as/web-large/28492.jpg,Hexagonal vase with stylized phoenix handles,Vase,Porcelain with turqoise glaze (Jingdezhen ware),Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Qianlong period (1736–95",mid-18th century,0
2306,194322,https://images.metmuseum.org/CRDImages/es/web-large/40764.jpg,Plate,Plate,Faience (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1750,0
2308,185911,https://images.metmuseum.org/CRDImages/es/web-large/28355.jpg,Bowl,Bowl,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,"18th century, decoration ca. 1750",0
2309,207114,https://images.metmuseum.org/CRDImages/es/web-large/DT7102.jpg,Captain,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1750–53,0
2310,190878,https://images.metmuseum.org/CRDImages/es/web-large/4755.jpg,Tile,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,1640–60,0
2311,445484,https://images.metmuseum.org/CRDImages/is/web-large/sf08-256-194.jpg,Fragment,Fragment,Stonepaste; underglaze painted,Ceramics,Islamic Art,,,14th century,0
2312,315782,https://images.metmuseum.org/CRDImages/ao/web-large/vs1987.394.701-703.jpg,Spindle,Spindle,"Thorn, ceramic, thread",Textiles-Implements,The Michael C. Rockefeller Wing,Nasca,,2nd–7th century,0
2313,46732,https://images.metmuseum.org/CRDImages/as/web-large/30072.jpg,Box and Cover,Box,White porcelain decorated under the glaze (Arita ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),1780,0
2314,196566,https://images.metmuseum.org/CRDImages/es/web-large/DP-14759-011.jpg,Posset pot with cover,Posset pot with cover,Tin-glazed earthenware (delftware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,early 18th century,0
2315,317884,https://images.metmuseum.org/CRDImages/ao/web-large/1998.317.3.JPG,Two-headed figure rattle,Rattle,"Ceramic, pigment",Ceramics-Musical Instruments,The Michael C. Rockefeller Wing,Aztec,,13th–early 16th century,0
2316,549357,https://images.metmuseum.org/CRDImages/eg/web-large/86.1.21_front_rgb.jpg,Shabti of Khonsu,"Shabti, Khonsu, Sennedjem","Pottery, paint",,Egyptian Art,,"New Kingdom, Ramesside",ca. 1279–1213 B.C.,0
2317,205254,https://images.metmuseum.org/CRDImages/es/web-large/195963.jpg,Miniature figure of a cockatoo,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1745–50,0
2318,8517,https://images.metmuseum.org/CRDImages/ad/web-large/196481.jpg,Tile,Tile,Earthenware,,The American Wing,American,,1881–85,0
2320,554934,https://images.metmuseum.org/CRDImages/eg/web-large/30.6.55-acc.jpg,Funerary Cone of the Royal Scribe Menkheperreseneb,"Cone, circular impression, Menkheperreseneb, royal scribe, double granary",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
2321,194964,https://images.metmuseum.org/CRDImages/es/web-large/DP339374.jpg,Pair of vases,Vases,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1884–86,0
2322,204518,https://images.metmuseum.org/CRDImages/es/web-large/DP154246.jpg,Plate (one of a pair),Plate,Maiolica (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1525 or later,0
2324,641060,https://images.metmuseum.org/CRDImages/es/web-large/DP-1725-016.jpg,Skull and crossbones,Skull and crossbones,"Hard-paste porcelain, wood, mirror glass, metal pins",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755–60,0
2325,52634,https://images.metmuseum.org/CRDImages/as/web-large/150000.jpg,Bowl,Bowl,Stoneware with relief decoration under celadon glaze (Longquan ware),Ceramics,Asian Art,China,Southern Song dynasty (1127–1279),12th–13th century,0
2326,201811,https://images.metmuseum.org/CRDImages/es/web-large/DP-12529-019.jpg,Cake bowl (part of a service),Cake bowl,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1758–69,0
2327,453996,https://images.metmuseum.org/CRDImages/is/web-large/DP247336.jpg,Pear-Shaped Jar,Vase,Stonepaste; painted under transparent turquoise glaze,Ceramics,Islamic Art,,,first half 13th century,0
2328,452462,https://images.metmuseum.org/CRDImages/is/web-large/sf1973-79-41b.jpg,Fragment of a Bowl or Cup,Fragment,Stonepaste; painted under transparent glaze,Ceramics,Islamic Art,,,13th–16th century,0
2329,325887,https://images.metmuseum.org/CRDImages/an/web-large/ME67_246_6.jpg,Small lamp,Lamp,Ceramic,,Ancient Near Eastern Art,Nabataean,Nabataean,ca. 1st century A.D.,0
2330,45559,https://images.metmuseum.org/CRDImages/as/web-large/23_225_81_O1_sf.jpg,Child Carrying an Infant Netsuke,Netsuke,Porcelain with underglaze blue and overglaze enamels (Hirado ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),late 18th century,0
2331,448981,https://images.metmuseum.org/CRDImages/is/web-large/sf33-175-68a.jpg,Ewer,Ewer,Earthenware; unglazed,Ceramics,Islamic Art,,,7th–8th century,0
2332,58853,https://images.metmuseum.org/CRDImages/as/web-large/91_1_357_O.JPG,Teabowl,Teabowl,Pottery covered with crackled glaze and designs in colors (Kyoto ware),Ceramics,Asian Art,Japan,Momoyama (1573–1615) or Edo period (1615–1868),17th century,0
2333,37435,https://images.metmuseum.org/CRDImages/as/web-large/1986_506_2.JPG,Bottle,Bottle,Stoneware,Ceramics,Asian Art,Thailand,Angkor period,late 12th century,0
2334,190659,https://images.metmuseum.org/CRDImages/es/web-large/3633.jpg,Pair of hyacinth pots,Hyacinth pots,Faience (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,late 18th century,0
2335,324849,https://images.metmuseum.org/CRDImages/an/web-large/DP-15115-008.jpg,Figurine,Sculpture,Ceramic,,Ancient Near Eastern Art,,Akkadian,ca. 2350–2150 B.C.,0
2336,694345,https://images.metmuseum.org/CRDImages/md/web-large/28.99.190.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
2337,50819,https://images.metmuseum.org/CRDImages/as/web-large/28489.jpg,Vase,Vase,"Porcelain with underglaze blue decoration, coated with black lacquer inlaid with mother-of-pearl (lac burgauté)",Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Qianlong period (1736–95)",,0
2338,202556,https://images.metmuseum.org/CRDImages/es/web-large/DP-470-003.jpg,Miniature seal in the form of a cat,Seal,"Soft-paste porcelain, carnelian, metal, gilt metal",Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1753–58,0
2339,47024,https://images.metmuseum.org/CRDImages/as/web-large/30018.jpg,Dish,Dish,"White porcelain decorated with blue under glaze; polychrome enamels (Arita ware, Imari type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),ca. 1700,0
2340,199064,https://images.metmuseum.org/CRDImages/es/web-large/DP-15624-079.jpg,Boy with snare drum,Figure,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1770–80,0
2341,478456,https://images.metmuseum.org/CRDImages/md/web-large/Cop0279.jpg,Head Fragment,Statuette,Earthenware,Ceramics,Medieval Art,Coptic,,4th–7th century,0
2342,208228,https://images.metmuseum.org/CRDImages/es/web-large/SF1995_268_11.jpg,Plate,Plate,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1760–70,0
2343,318613,https://images.metmuseum.org/CRDImages/ao/web-large/62.266.90.jpg,Spindle Whorl,Spindle whorl,Ceramic,Ceramics-Implements,The Michael C. Rockefeller Wing,Peruvian,,10th–16th century (?),0
2344,47020,https://images.metmuseum.org/CRDImages/as/web-large/LC-93_3_7-001.jpg,Cup and Cover,Cup and cover,Porcelain,Ceramics,Asian Art,Japan,,,0
2345,46982,https://images.metmuseum.org/CRDImages/as/web-large/13206.jpg,Plate,Plate,"Porcelain with decorations under the glaze (Arita ware, Imari type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),1700–1780,0
2346,445152,https://images.metmuseum.org/CRDImages/is/web-large/sf07-237-13a.jpg,Fragment of a Bowl,Fragment,Earthenware; incised decoration through a white slip and coloring under transparent glaze,Ceramics,Islamic Art,,,14th–15th century,0
2347,47431,https://images.metmuseum.org/CRDImages/as/web-large/32_100_426_O1_sf.jpg,Figure of a Boy,Figure,Porcelain with famille verte enamels,Ceramics,Asian Art,China,Ming dynasty (1368–1644),,0
2348,47071,https://images.metmuseum.org/CRDImages/as/web-large/93_1_179_sf.jpg,Dish,Dish,"Clay partly covered with drawing under a transparent, finely-crackled glaze; top covered with a thick second glaze (Awata ware, Zhun type)",Ceramics,Asian Art,Japan,Edo (1615–1868) or Meiji period (1868–1912),19th century,0
2349,203441,https://images.metmuseum.org/CRDImages/es/web-large/DP-247-076.jpg,Cupid as painter,Toy,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765,0
2350,452001,https://images.metmuseum.org/CRDImages/is/web-large/sf68-215-8b.jpg,Dish,Dish,Stonepaste; luster-painted,Ceramics,Islamic Art,,,12th–13th century,0
2351,444799,https://images.metmuseum.org/CRDImages/is/web-large/sf91-1-1624.jpg,Lamp,Lamp,Earthenware,Ceramics,Islamic Art,,,2nd–6th century,0
2352,487292,https://images.metmuseum.org/CRDImages/ma/web-large/ES4176.jpg,Vase with cover,Vase with cover,Pottery,Ceramics-Pottery,Modern and Contemporary Art,,,1888–98,0
2354,559366,https://images.metmuseum.org/CRDImages/eg/web-large/15.10.16-acc.jpg,Funerary Cone of the Scribe of the Treasury Senu,"Cone, Davies 578, Senu, scribe, treasury",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
2356,201336,https://images.metmuseum.org/CRDImages/es/web-large/159751.jpg,Platter (part of a service),Platter,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,1790–1800,0
2357,199456,https://images.metmuseum.org/CRDImages/es/web-large/DP-15624-134.jpg,Parrot,Figure,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1750,0
2358,188658,https://images.metmuseum.org/CRDImages/es/web-large/94574.jpg,Cup,Cup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1725–30,0
2359,208768,https://images.metmuseum.org/CRDImages/es/web-large/77995.jpg,Panel of tiles,Tile,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th century,0
2360,207303,https://images.metmuseum.org/CRDImages/es/web-large/DT7298.jpg,Coffeepot,Coffeepot,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1795–1800,0
2361,308860,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.399.jpg,Spindle Whorl,Spindle whorl,Ceramic,Ceramics-Implements,The Michael C. Rockefeller Wing,Peruvian; north coast (?),,A.D.1–500,0
2362,310496,https://images.metmuseum.org/CRDImages/ao/web-large/DP-23561-001.jpg,Stirrup-spout bottle,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Cupisnique artist,,800-500 B.C.,0
2363,474550,https://images.metmuseum.org/CRDImages/md/web-large/sf12-180-136s1.jpg,Ostrakon,Ostrakon,Pottery fragment with ink inscription,Ceramics,Medieval Art,Coptic,,7th century,0
2365,445143,https://images.metmuseum.org/CRDImages/is/web-large/sf07-237-1a.jpg,Fragment,Fragment,Earthenware; incised decoration through a white slip and coloring under transparent glaze,Ceramics,Islamic Art,,,14th–15th century,0
2367,208828,https://images.metmuseum.org/CRDImages/es/web-large/SF1997_282_4_img1.jpg,Asparagus dish,Asparagus dish,Lead-glazed creamware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1880,0
2368,208181,https://images.metmuseum.org/CRDImages/es/web-large/DT3700.jpg,Vase,Vase,Tin-glazed earthenware (Delftware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1690,0
2369,448022,https://images.metmuseum.org/CRDImages/is/web-large/sf27-138-4a.jpg,Bread Seal,Seal,Earthenware,Ceramics,Islamic Art,,,10th century,0
2370,559213,https://images.metmuseum.org/CRDImages/eg/web-large/13.180.48_EGDP016580.jpg,Funerary Cone of the Royal Seal-Bearer and Priest Iaiefib,"Cone, circular impression, Iaiefib, seal-bearer, Priest",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
2371,308560,https://images.metmuseum.org/CRDImages/ao/web-large/64.228.59.JPG,"Bottle, Enthroned Figure",Bottle,"Ceramic, slip, pigment",Ceramics-Containers,The Michael C. Rockefeller Wing,Moche,,1st–4th century,0
2372,446695,https://images.metmuseum.org/CRDImages/is/web-large/sf15-84-1a.jpg,Bottle,Bottle,Stonepaste; painted in blue under transparent glaze,Ceramics,Islamic Art,,,16th century,0
2373,208300,https://images.metmuseum.org/CRDImages/es/web-large/ES5511.jpg,Plate,Plate,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770,0
2374,47214,https://images.metmuseum.org/CRDImages/as/web-large/54739.jpg,Vase,Vase,White porcelain decorated with blue under the glaze  (Hirado ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),1760,0
2376,48214,https://images.metmuseum.org/CRDImages/as/web-large/79_2_378_O1_sf.jpg,"Plate with Monkey, Bees, Magpie, and Deer",Plate,Porcelain painted with blue underglaze,Ceramics,Asian Art,China,Qing dynasty (1644–1911),late 17th–early 18th century,0
2377,696624,https://images.metmuseum.org/CRDImages/md/web-large/28.99.532.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
2378,447369,https://images.metmuseum.org/CRDImages/is/web-large/sf21-52-2.jpg,Tile,Tile,Earthenware; glazed,Ceramics-Tiles,Islamic Art,,,12th–14th century,0
2379,205849,https://images.metmuseum.org/CRDImages/es/web-large/ES2424.jpg,Double-gourd vase (one of a pair),Vase,Tin-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1742,0
2381,48457,https://images.metmuseum.org/CRDImages/as/web-large/17_30_4_O1_sf.jpg,Warmer bowl,Bowl,Stonware with celadon glaze (Longquan ware),Ceramics,Asian Art,China,Ming dynasty (1368–1644),15th–16th century,0
2382,194351,https://images.metmuseum.org/CRDImages/es/web-large/40738.jpg,Dish (underdish for a tureen),Tureen underdish,Faience (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1735,0
2386,474494,https://images.metmuseum.org/CRDImages/md/web-large/sf12-180-82s1.jpg,Ostrakon,Ostrakon,Pottery fragment with ink inscription,Ceramics,Medieval Art,Coptic,,7th century,0
2387,451881,https://images.metmuseum.org/CRDImages/is/web-large/wb-66.175.4cc.JPG,Ewer,Ewer,Stonepaste; glazed,Ceramics,Islamic Art,,,early 13th century,0
2388,196839,https://images.metmuseum.org/CRDImages/es/web-large/82656.jpg,Dish,Dish,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1750–60,0
2389,53419,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_267ab_Burke_website.jpg,Hexagonal Jar (Rokkaku-tsubo) with Paulownia and Geometric Design,Brazier,Stoneware with polychrome overglaze enamels and gold (Ko-Kiyomizu ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),18th century,0
2390,452465,https://images.metmuseum.org/CRDImages/is/web-large/sf1973-79-45a.jpg,Fragment of a Bowl or Cup,Fragment,Stonepaste; painted under transparent glaze,Ceramics,Islamic Art,,,13th–16th century,0
2391,191570,https://images.metmuseum.org/CRDImages/es/web-large/DP-1239-002.jpg,Jug (part of a set),Jug,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,18th–19th century,0
2392,44324,https://images.metmuseum.org/CRDImages/as/web-large/272392.jpg,Square Pen with Six Rams,Architectural model,Earthenware with green lead glaze,Ceramics,Asian Art,China,Eastern Han dynasty (25–220),1st–early 3rd century,0
2393,696594,https://images.metmuseum.org/CRDImages/md/web-large/28.99.505.jpg,Fragment,Fragment,"Glass, ceramic",Glass-Vessels,Medieval Art,European or Middle Eastern,,ca. 1150–ca. 1250,0
2394,444876,https://images.metmuseum.org/CRDImages/is/web-large/sf02-5-40a.jpg,"Blue-ground Ewer with Floral, Tiger-stripe and 'Cintamani' Designs",Ewer,Earthenware; polychrome painted under transparent glaze,Ceramics,Islamic Art,,,ca. 1580–85,0
2395,198505,https://images.metmuseum.org/CRDImages/es/web-large/DP-12374-024.jpg,Dish (one of a pair),Dish,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770–75,0
2397,51984,https://images.metmuseum.org/CRDImages/as/web-large/10_202_29.JPG,Tile,Tile,Earthenware,Ceramics,Asian Art,China,Qin–Han dynasty (221 B.C.–A.D. 220),,0
2398,451534,https://images.metmuseum.org/CRDImages/is/web-large/sf60-23-38a.jpg,Fragment,Fragment,"Earthenware; molded decoration, glazed",Ceramics,Islamic Art,,,9th–10th century,0
2400,207161,https://images.metmuseum.org/CRDImages/es/web-large/ES6495.jpg,Pastoral Group,Group,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1781–90,0
2401,326924,https://images.metmuseum.org/CRDImages/an/web-large/SS1984_175_25.jpg,Stamp seal,Stamp seal,"Faience (?), Ceramic (?)",,Ancient Near Eastern Art,,Late Bronze Age,2nd millennium B.C.,0
2402,62854,https://images.metmuseum.org/CRDImages/as/web-large/93_3_439.JPG,Vegetable Dish,Dish,White porcelain decorated with colored enamels (Arita ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),1800,0
2403,839765,https://images.metmuseum.org/CRDImages/es/web-large/DP-19686-042.jpg,The Half and The Whole (pair of vases),Vases (pair),Bone china with pâte-sur-pâte decoration and gilding,Ceramics-Pottery,European Sculpture and Decorative Arts,,,1895–1899,0
2405,453591,https://images.metmuseum.org/CRDImages/is/web-large/sf07-238-47.jpg,Fragment,Fragment,Stonepaste; polychrome painted under transparent glaze,Ceramics,Islamic Art,,,13th–14th century,0
2406,555006,https://images.metmuseum.org/CRDImages/eg/web-large/30.6.92-acc.jpg,Funerary Cone of  the Steward Abekh,"Cone, Abekh, oval impression",Pottery,,Egyptian Art,,New Kingdom,ca. 1550–1295 B.C.,0
2408,323669,https://images.metmuseum.org/CRDImages/an/web-large/ME38_40_352.jpg,Sherd,Sherd,Ceramic,,Ancient Near Eastern Art,Iran,Early Bronze Age,ca. 3100-2700 B.C.,0
2409,450424,https://images.metmuseum.org/CRDImages/is/web-large/41.165.8.jpg,Star-Shaped Tile,Star-shaped tile,Stonepaste; luster-painted on opaque white glaze under transparent glaze,Ceramics-Tiles,Islamic Art,,,1260–70,0
2410,53686,https://images.metmuseum.org/CRDImages/as/web-large/57308.jpg,Ox cart,Figure,Earthenware,Tomb Pottery,Asian Art,China,Tang dynasty (618–907),7th–8th century,0
2411,310494,https://images.metmuseum.org/CRDImages/ao/web-large/DP23129.jpg,Stirrup-Spout Bottle,Bottle,Ceramic,Ceramics-Containers,The Michael C. Rockefeller Wing,Cupisnique,,12th–5th century B.C.,0
2412,324039,https://images.metmuseum.org/CRDImages/an/web-large/ME48_98_16.jpg,Cup,Cup,Ceramic,,Ancient Near Eastern Art,Iran,Iron Age,ca. 900-700 B.C.,0
2413,461219,https://images.metmuseum.org/CRDImages/rl/web-large/1679-1.jpg,Tazza,Tazza,Porcelain painted in overglaze famille verte enamels.,Ceramics,Robert Lehman Collection,Chinese,,1662–1722,0
2415,325806,https://images.metmuseum.org/CRDImages/an/web-large/ME65_163_77.jpg,Vessel,Vessel,Ceramic,,Ancient Near Eastern Art,Iran,"Early Bronze Age, Hasanlu Period VII",ca. early 2nd millennium B.C.,0
2416,187819,https://images.metmuseum.org/CRDImages/es/web-large/27566.jpg,Cup (one of six) (part of a set),Cup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,1820–30,0
2418,830410,https://images.metmuseum.org/CRDImages/es/web-large/LC-1970_221_3-002.jpg,Stand,Bowl and stand,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1775,0
2419,448897,https://images.metmuseum.org/CRDImages/is/web-large/sf32-150-459a.jpg,Fragment,Fragment,Earthenware; incised,Ceramics,Islamic Art,,,8th–9th century,0
2420,47005,https://images.metmuseum.org/CRDImages/as/web-large/54915.jpg,Octagonal Bowl,Bowl,"Porcelain decorated with enamels (Arita ware, Imari type)",Ceramics,Asian Art,Japan,Edo period (1615–1868),1820,0
2421,313196,https://images.metmuseum.org/CRDImages/ao/web-large/1979.206.999.JPG,Female Figure,Female figure,Ceramic,Ceramics-Sculpture,The Michael C. Rockefeller Wing,Colima,,2nd century B.C.–A.D. 3rd century,0
2422,50716,https://images.metmuseum.org/CRDImages/as/web-large/DP-14609-035.jpg,Plate with Lotus,Plate,"Porcelain with incised decoration under celadon glaze (Zhejiang Province, Longquan ware)",Ceramics,Asian Art,China,Ming dynasty (1368–1644),15th century,0
2423,62721,https://images.metmuseum.org/CRDImages/as/web-large/93_3_18ab_O1sf.jpg,Covered Jar,Jar,White porcelain decorated with blue under the glaze (Hirado ware),Ceramics,Asian Art,Japan,Edo period (1615–1868),1820,0
2424,194900,https://images.metmuseum.org/CRDImages/es/web-large/49978.jpg,Cup (part of a set),Cup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1765,0
2425,48315,https://images.metmuseum.org/CRDImages/as/web-large/7859.jpg,Tile end with lotus flower,Tile end,Earthenware,Ceramics,Asian Art,China,Ming dynasty (1368–1644),16th–17th century,0
2426,2604,https://images.metmuseum.org/CRDImages/ad/web-large/DP270502.jpg,Creamer,Cream pot,Earthenware,,The American Wing,American,,1830–60,0
2427,446906,https://images.metmuseum.org/CRDImages/is/web-large/DP262900.jpg,Bowl,Bowl,Stonepaste; overglaze painted (mina'i),Ceramics,Islamic Art,,,12th–13th century,0
2428,205263,https://images.metmuseum.org/CRDImages/es/web-large/196352.jpg,Buddhist Divinity,Figure,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1720–25,0
2429,502924,https://images.metmuseum.org/CRDImages/mi/web-large/DP157384.jpg,Pottery Whistle,Pottery Whistle,Clay,Aerophone-Whistle Flute-whistle,Musical Instruments,Costa Rican,Pre-Columbian,ca. 800–1525,0
2432,203396,https://images.metmuseum.org/CRDImages/es/web-large/DP-247-007.jpg,Fish in net,Toy,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1755,0
2433,206113,https://images.metmuseum.org/CRDImages/es/web-large/DP-13913-020.jpg,Teapot (part of a service),Teapot,Soft-paste porcelain with enamel decoration and gilding,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1770,0
2434,48237,https://images.metmuseum.org/CRDImages/as/web-large/30_76_47_O1.jpg,Minature standing figure,Figure,Earthenware with polychrome glaze (Sancai ware),Tomb Pottery,Asian Art,China,Tang dynasty (618–907),8th century,0
2435,50955,https://images.metmuseum.org/CRDImages/as/web-large/28418.jpg,Cup,Cup,"Porcelain with low-relief decoration under a clear glaze, Dehua ware (blanc de chine)",Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",late 17th–early 18th century,0
2436,4081,https://images.metmuseum.org/CRDImages/ad/web-large/138283.jpg,Goblet,Goblet,"Earthenware, lusterware",,The American Wing,British (American market),,1800–1830,0
2437,51231,https://images.metmuseum.org/CRDImages/as/web-large/93_3_386.JPG,Saucer,Saucer,"White porcelain; the outside blue under the glaze, covered with design painted in gold; the inside decorated in blue under the glaze, polychrome enamels (Arita kiln)",Ceramics,Asian Art,Japan,Edo period (1615–1868),1780,0
2438,203182,https://images.metmuseum.org/CRDImages/es/web-large/SF64_101_194_img1.jpg,"Spoon with the arms of Johann Christian, Graf von Hennicke (1692–1752)",Spoon,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1735–40,0
2439,446194,https://images.metmuseum.org/CRDImages/is/web-large/sf12-22b.jpg,Fragment of a Bowl,Fragment of a bowl,Stonepaste; stain and overglaze painted,Ceramics,Islamic Art,,,12th–13th century,0
2440,47056,https://images.metmuseum.org/CRDImages/as/web-large/15974.jpg,Hanging Flower Vase,Hanging flower vase,"Clay covered with a partly-transparent glaze, with streaks (Kiyomizu ware)",Ceramics,Asian Art,Japan,Edo period (1615–1868),18th century,0
2441,205334,https://images.metmuseum.org/CRDImages/es/web-large/DP-12395-015.jpg,Europa and the Bull,Candlestick,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1749–59,0
2443,37509,https://images.metmuseum.org/CRDImages/as/web-large/DP342276.jpg,Dish,Dish,Earthenware with cream white glaze and iron-brown underglaze decoration,Ceramics,Asian Art,Thailand (Si Satchanalai),,14th–ca. mid-16th century,0
2444,46925,https://images.metmuseum.org/CRDImages/as/web-large/23426.jpg,Jar,Jar,Porcelain with crackled green glaze (Jingdezhen ware),Ceramics,Asian Art,China,Qing dynasty (1644–1911),18th century,0
2445,192845,https://images.metmuseum.org/CRDImages/es/web-large/DP-12374-008.jpg,Vase,Vase,Soft-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1760,0
2446,51183,https://images.metmuseum.org/CRDImages/as/web-large/29726.jpg,Quadruple Vase,Vase,Porcelain with pale blue glaze,Ceramics,Asian Art,China,"Qing dynasty (1644–1911), Yongzheng mark and period (1723–35)",,0
2447,449042,https://images.metmuseum.org/CRDImages/is/web-large/wb-36.20.8.JPG,Ewer,Ewer,"Earthenware; white slip with molded decoration, unglazed",Ceramics,Islamic Art,,,11th–12th century,0
2448,208931,https://images.metmuseum.org/CRDImages/es/web-large/28561.jpg,Tureen with cover,Tureen with cover,Hard-paste porcelain,Ceramics-Porcelain-Export,European Sculpture and Decorative Arts,,,ca. 1760–70,0
2449,188541,https://images.metmuseum.org/CRDImages/es/web-large/LC-02_5_23-001.jpg,Albarello,Albarello,Maiolica (tin-glazed earthenware),Ceramics-Pottery,European Sculpture and Decorative Arts,,,mid-16th century,0
2450,199590,https://images.metmuseum.org/CRDImages/es/web-large/DP-15624-147.jpg,"William Augustus, Duke of Cumberland",Bust,Lead-glazed earthenware,Ceramics-Pottery,European Sculpture and Decorative Arts,,,ca. 1750,0
2451,188743,https://images.metmuseum.org/CRDImages/es/web-large/121920.jpg,Cup,Cup,Hard-paste porcelain,Ceramics-Porcelain,European Sculpture and Decorative Arts,,,ca. 1740,0
